nom;type;cout piece;symbole chainage;points victoires;points de combat;Ressource produite;Symbole Scientifique;Pieces rapportes;Ressources…
Chantier;Ressource;0;NULL;0;0;Bois;NULL;0;NULL
Bassin Argileux;Ressource;0;NULL;0;0;Argile;NULL;0;NULL
Gisement;Ressource;0;NULL;0;0;Pierre;NULL;0;NULL
Mine;Ressource;1;NULL;0;0;Pierre;NULL;0;NULL
Cavite;Ressource;1;NULL;0;0;Argile;NULL;0;NULL
Exploitation;Ressource;1;NULL;0;0;Bois;NULL;0;NULL
Verrerie;Ressource;1;NULL;0;0;Verre;NULL;0;NULL
Presse;Ressource;1;NULL;0;0;Papyrus;NULL;0;NULL
Autel;Civil;0;Lune;3;0;NULL;NULL;0;NULL
Theatre;Civil;0;Masque;3;0;NULL;NULL;0;NULL
Bains;Civil;0;Goutte;3;0;NULL;NULL;0;Pierre
Officine;Scientifique;2;Roue crantee;0;0;NULL;Mortier;0;NULL
Atelier;Scientifique;0;NULL;1;0;NULL;Plomb;0;NULL
Apothicaire;Scientifique;0;NULL;1;0;NULL;Roue;0;NULL
Scriptorium;Scientifique;2;Livre;0;0;NULL;Plume;0;NULL
Depot de Pierre;Commercial;3;NULL;0;0;Pierre;NULL;0;NULL
Taverne;Commercial;0;Amphore;0;0;NULL;NULL;4;NULL
Depot d'argile;Commercial;3;NULL;0;0;Argile;NULL;0;NULL
Depot de bois;Commercial;3;NULL;0;0;Bois;NULL;0;NULL
Tour de Garde;Militaire;0;NULL;0;1;NULL;NULL;0;NULL
Ecurie;Militaire;0;Fer a cheval;0;1;NULL;NULL;0;Bois
Caserne;Militaire;0;Epee;0;1;NULL;NULL;0;Argile
Palissade;Militaire;2;Tour d'observation;0;1;NULL;NULL;0;NULL
